timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784786481.096416,train,1,157,4.3859992027282715,,14,,1228.3709111701046,0.00019960057681427722,5.243770599365234
1784786481.146584,train,1,158,5.603654861450195,,74,,6314.442510826789,0.00019958644986537086,4.147880554199219
1784786481.196631,train,1,159,4.478697299957275,,23,,2013.6578539803418,0.0001995720779905314,4.0150065422058105
1784786481.246987,train,1,160,5.937480449676514,,22,,1918.5697941501285,0.00019955746122905105,3.930488348007202
1784786481.2978292,train,1,161,5.213076114654541,,10,,775.4467502385827,0.0001995425996208914,5.283019542694092
1784786481.348199,train,1,162,2.2258388996124268,,93,,7743.49352783477,0.0001995274932066836,1.9633827209472656
1784786481.397556,train,1,163,4.635607719421387,,136,,11592.062369385285,0.00019951214202772795,1.6567100286483765
1784786481.447495,train,1,164,2.7863123416900635,,22,,1973.0867376964854,0.00019949654612599403,3.1197524070739746
1784786481.497304,train,1,165,3.673844337463379,,101,,9455.637985485531,0.00019948070554412042,3.28554105758667
1784786481.547304,train,1,166,3.119534730911255,,84,,7761.338828643507,0.00019946462032541462,1.7820422649383545
1784786481.5973241,train,1,167,2.4242630004882812,,65,,5914.355760897481,0.00019944829051385306,2.104846715927124
1784786481.647496,train,1,168,4.710606098175049,,70,,6207.875134428979,0.00019943171615408086,2.49676513671875
1784786481.69783,train,1,169,3.6349027156829834,,55,,4778.107718516778,0.0001994148972914116,3.6332643032073975
1784786481.7478762,train,1,170,4.352395534515381,,171,,14880.725761282041,0.00019939783397182744,1.5144978761672974
1784786481.7984169,train,1,171,3.040642023086548,,64,,5264.655463703259,0.00019938052624197885,1.7522053718566895
1784786481.848629,train,1,172,6.252681732177734,,34,,2787.2375352672148,0.00019936297414918452,2.2558414936065674
1784786481.8989172,train,1,173,1.7659814357757568,,47,,4044.445879731273,0.0001993451777414312,2.496378183364868
1784786481.949228,train,1,174,4.537635803222656,,59,,5004.5235806658075,0.00019932713706737355,2.225099563598633
1784786481.999881,train,1,175,1.9337050914764404,,21,,1731.304365088687,0.00019930885217633407,3.1414408683776855
1784786482.050482,train,1,176,4.219239711761475,,21,,1784.386617843478,0.00019929032311830303,4.389592170715332
1784786482.100852,train,1,177,3.38466215133667,,21,,1807.0604959636332,0.0001992715499439381,3.143420457839966
1784786482.151194,train,1,178,5.127126216888428,,27,,2227.2251378337573,0.00019925253270456446,5.422738552093506
1784786482.201529,train,1,179,4.175394535064697,,50,,4153.988346392633,0.0001992332714521745,4.318205833435059
1784786482.251939,train,1,180,3.359705686569214,,38,,3186.593765532335,0.0001992137662394278,1.8098667860031128
1784786482.3039339,train,1,181,5.247982025146484,,38,,2961.1158729820436,0.00019919401711965075,3.091662645339966
1784786482.354433,train,1,182,4.121128082275391,,42,,3430.8119596545025,0.0001991740241468368,2.1695878505706787
1784786482.40481,train,1,183,2.8902676105499268,,45,,3796.5738372495257,0.00019915378737564595,2.408109426498413
1784786482.4545121,train,1,184,7.298262119293213,,20,,1693.6055798252016,0.0001991333068614047,3.4146602153778076
1784786482.504216,train,1,185,6.049055099487305,,17,,1621.5185046132112,0.00019911258266010605,5.061406135559082
1784786482.5539231,train,1,186,5.109036445617676,,19,,1844.608080166977,0.0001990916148284092,4.496970176696777
1784786482.60383,train,1,187,2.810565233230591,,34,,3155.8062388154094,0.0001990704034236393,1.4175101518630981
